Gender,Class,Event,Round,Rank,Athlete,Team,Mark,DQRule,Points,Wind,Leg1,Leg2,Leg3,Leg4
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Laquay Harrison,Clarendon College,11.67Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Theolene Rance,St. Mary High,11.90,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Neilia Johnson,Alpha,12.40,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Pascalle-joy Douglas,St. Andrew,12.64,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Shania Myers,Hydel High,11.38Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Cerae Mahabeer,Immaculate Conception High,11.52Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Dayjhuna Campbell,Steths,11.63q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Jaunel Dalhouse,Camperdown High,12.37,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Tamecia Binda,Vere Technical High,12.51,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Chloe-mae Wilks,Wolmer's Girls School,11.00Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Rashema Lindo,Steths,11.17Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Mikala Smith,St. Hugh's High,11.36q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Diamonique Richard,Mannings High,11.67q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Reign-ann Ewen,Excelsior High,11.85,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,6,Denee Charles,Campion College,12.21,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,7,Amanda Augle,Charlemont High,13.33,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Orianna Barnett,Holmwood Technical High,10.97Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Brianna Watt,Edwin Allen High,11.10Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Shanice Brown,Camperdown High,11.89,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Tonaya Simmonds,Excelsior High,11.99,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Iyana Rowe,Maggotty High,12.08,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,6,Jermesha Jarrett,Petersfield High,13.41,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Gabrielle Matthew,Hydel High,11.76Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Shanice Walsh,St. Catherine High,11.82Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Janela Spencer,Manchester High,12.23q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Kaniellia Hunter,St. Andrew,12.64,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Ziann Facey,Immaculate Conception High,12.86,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Breanna Bryan,Mona High,13.53,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Salieci Myles,Edwin Allen High,11.96Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Sashell Reid,St. Jago High,12.20Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Shantel Goodison,Rusea's High,12.86,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Hailie Walker,St. Hugh's High,12.99,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Rasheka Andrews,Mannings High,13.35,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Krystyna Constant,Wolmer's Girls School,13.45,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Aliyhana Blake,Mona High,16.67,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Danae Nembhard,St. Jago High,11.60Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Marissa Simpson,Clarendon College,11.98Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Jadah Hodges,Mount Alvernia High,12.35q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Raevonn Morris,Alpha,12.44,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Lamoi Nunes,William Knibb,12.83,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Briana Duhaney,Holmwood Technical High,13.01,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Keviecia Francis,Camperdown High,13.11,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Oneka Wilson,Hydel High,11.54Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Abigail Blake,Wolmer's Girls School,11.86Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Tashanua Houston,Excelsior High,12.07q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Shackelia Green,Steths,12.38q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Shanelle Hall,Vere Technical High,12.59,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Kimarie Drummond,Mannings High,12.62,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Ashley Valentine,Charlemont High,13.11,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Atalya Wallace,Holmwood Technical High,11.71Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Chrystal Shaw,The Queens School,12.00Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Patreece Clarke,Edwin Allen High,12.06q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Kaela-michele O'Connor,St. Andrew,12.24q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Kaysha Wright,Excelsior High,12.59,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Shaneil Lysight,Immaculate Conception High,12.67,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Abriel Dawkins,Dinthill,13.23,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,8,Withney Graham,Cedric Titus High,14.27,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Gabrielle Matthew,Hydel High,11.76Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Shanice Walsh,St. Catherine High,11.82Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Janela Spencer,Manchester High,12.23q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Kaniellia Hunter,St. Andrew,12.64,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Ziann Facey,Immaculate Conception High,12.86,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Breanna Bryan,Mona High,13.53,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Salieci Myles,Edwin Allen High,11.96Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Sashell Reid,St. Jago High,12.20Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Shantel Goodison,Rusea's High,12.86,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Hailie Walker,St. Hugh's High,12.99,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Rasheka Andrews,Mannings High,13.35,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Krystyna Constant,Wolmer's Girls School,13.45,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Aliyhana Blake,Mona High,16.67,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Danae Nembhard,St. Jago High,11.60Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Marissa Simpson,Clarendon College,11.98Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Jadah Hodges,Mount Alvernia High,12.35q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Raevonn Morris,Alpha,12.44,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Lamoi Nunes,William Knibb,12.83,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Briana Duhaney,Holmwood Technical High,13.01,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Keviecia Francis,Camperdown High,13.11,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Oneka Wilson,Hydel High,11.54Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Abigail Blake,Wolmer's Girls School,11.86Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Tashanua Houston,Excelsior High,12.07q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Shackelia Green,Steths,12.38q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Shanelle Hall,Vere Technical High,12.59,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Kimarie Drummond,Mannings High,12.62,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Ashley Valentine,Charlemont High,13.11,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,1,Atalya Wallace,Holmwood Technical High,11.71Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,2,Chrystal Shaw,The Queens School,12.00Q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,3,Patreece Clarke,Edwin Allen High,12.06q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,4,Kaela-michele O'Connor,St. Andrew,12.24q,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,5,Kaysha Wright,Excelsior High,12.59,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,6,Shaneil Lysight,Immaculate Conception High,12.67,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,7,Abriel Dawkins,Dinthill,13.23,,0.0,,,,,
Girls,Class 3,80 Meter Hurdles,Preliminaries,8,Withney Graham,Cedric Titus High,14.27,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,1,Tajay Broomfield,Jamaica College,49.56mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,2,Clifton Clarke,Wolmer's Boys School,47.68mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,3,Delroy Millwood,Morant Bay High,47.52mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,4,Choy Jones,Papine High,46.60mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,5,Tyrece Beckett,Excelsior High,46.35mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,6,Terrence Taylor,Steths,46.17m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,7,Adrian Williams,Clarendon College,46.02m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,8,Donroy Brown,Green Island High,45.25m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,9,Romaine Brown,Kingston College,44.05m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,10,Malcolm Hylton,Edwin Allen High,43.98m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,11,Malik Deeble,St. Mary's College,42.73m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,12,Tevaughn Tate,Petersfield High,41.98m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,13,Delano James,Calabar High,41.69m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,14,Alden Pringle,Bellefield High,37.93m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,1,Kobie Henry,Calabar High,51.64mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,2,Shavaine Mcfarlane,Buff Bay High,51.27mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,3,Shakwon Coke,Kingston College,50.93mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,4,Santino Anglin,Petersfield High,50.13mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,5,Brandon Mclaren,Rusea's High,49.69mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,6,Kymani Kirby,Jamaica College,48.15mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,7,Alex Williams,William Knibb,47.15mq,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,8,Mario Findlay,Munro College,45.30m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,9,Chevoy Riddle,St. James High,44.19m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,10,Deandre Bowen,Herbert Morrison,42.57m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,11,Eltray Orr,B. B. Coke High,42.32m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,12,Neshaun Whyte,Maldon High,40.27m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,13,Kenniel Allen,Merlene Ottey High,39.63m,,0.0,,,,,
Boys,Open,Javelin Throw,Preliminaries,14,Kareem Fearon,Clarendon College,37.34m,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,1,Rushana Dwyer,Edwin Allen High,2:20.36Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,2,Subbreana Breaken,St. Jago High,2:20.38Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,3,Aneisha Monteith,Lewisville High,2:20.79Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,4,Shantae Witter,Immaculate Conception High,2:26.61Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,5,Oneika Brissett,St. James High,2:28.87q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,6,Alexisa Thompson,Tacky High,2:29.32q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,7,Imani Brown,Merlene Ottey High,2:31.57,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,1,Cheriece Cope,Spaldings High,2:22.37Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,2,Serena Douglas,St. Catherine High,2:24.65Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,3,Damali Dobson,Merl Grove High,2:25.00Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,4,Britany Bucknor,Merlene Ottey High,2:25.26Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,5,Aliya Johnson,Holmwood Technical High,2:25.79q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,6,Chrisy Glanville,William Knibb,2:26.18q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,7,Leoni Wisdom,Mount St. Jo,2:44.33,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,1,Alesia Douglas,St. Jago High,2:21.27Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,2,Shone Walters,St. Mary High,2:24.31Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,3,Namoniyah Newell,St. Andrew Tech,2:26.87Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,4,Ocelia Jones,Hydel High,2:28.17Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,5,Diamond Mohammed,Manchester High,2:31.65,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,6,Amanda Blake,Merl Grove High,2:32.02,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,7,Annmarie Anderson,Robert Lightbour,2:59.02,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,1,Dahiema Williams,Holmwood Technical High,2:23.56Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,2,Angeen Gordon,Cedric Titus High,2:25.88Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,3,Aneisha Lawerence,Bellefield High,2:25.99Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,4,Jhamelia Myers,St. Mary High,2:29.63Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,5,Donanive Emery,Porus High,2:31.31,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,6,Shanae Powell,McGrath High,2:38.66,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,1,Jessica Mclean,Edwin Allen High,2:18.12Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,2,Kishay Rowe,Spaldings High,2:19.79Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,3,Vanessa Ward,Titchfield High,2:22.31Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,4,Gabriella Gordon,Excelsior High,2:26.11Q,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,5,Abigayle Fisher,Vere Technical High,2:31.31,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,6,Amora Samuda,Hydel High,2:35.88,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,7,Chanice Henry,Kingston High,2:36.78,,0.0,,,,,
Girls,Class 3,800 Meter Run,Preliminaries,8,Zaida Johnson,The Queens School,2:43.36,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,1,Shaquena Foote,Petersfield High,2:07.91Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,2,Zenon Kerr,Hydel High,2:19.38Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,3,Shantay Chamberlain,Mavis Bank High,2:21.71Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,4,Sancia Smith,Waterford High,2:23.65q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,5,Ishauna Reid,Camperdown High,2:28.65,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,6,Shereke Bennett,Tacky High,2:35.00,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,7,Tanilia Chambers,Tacius Golding High,2:40.20,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,1,Cemore Donald,Edwin Allen High,2:16.58Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,2,Shadae Findley,Steths,2:17.17Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,3,Latifah Pinnock,St. Jago High,2:18.90Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,4,Alecia Young,Vere Technical High,2:25.00q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,5,Jody-Ann Chambers,Camperdown High,2:26.11q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,6,Aaliyah Geddes,Gaynstead High,2:37.19,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,7,Amoy Foster,Christiana High,2:38.55,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,1,Theresa Graham,Spaldings High,2:22.73Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,2,Delverna Bromfiel,Holmwood Technical High,2:22.93Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,3,Aaliyah Myrie,Immaculate Conception High,2:24.86Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,4,Nadiesha Reid,Steer Town Academy,2:33.49,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,5,Dewree Senior,St. Hilda's,2:42.17,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,--,Mickaliliah Vassell,Hydel High,DQ,RULE 163.6,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,--,Indiana Coke,Aberdeen,DQ,RULE 170.15,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,1,Daniella Deer,Holmwood Technical High,2:19.50Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,2,Abigail Pinnock,St. Mary High,2:19.50Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,3,Kayan Green,Edwin Allen High,2:20.43Q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,4,Tavarie Campbell,Merlene Ottey High,2:25.85q,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,5,Tanya Rexted,Maggotty High,2:28.24,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,6,Shanice Donaldson,Winston Jones High,2:35.79,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,7,Mariva Graham,Bog Walk High,2:41.24,,0.0,,,,,
Girls,Class 2,800 Meter Run,Preliminaries,8,Antonette Sinclai,Westwood High,2:52.49,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,1,Amoya Simpson,St. Catherine High,5.77mq,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,2,Nia Robinson,Rusea's High,5.69mq,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,3,Shade Parr,Hydel High,5.59mq,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,4,Ackelia Smith,Edwin Allen High,5.54mq,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,5,Michela Wilson,The Queens School,5.39mq,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,6,Ramona Hylton,Camperdown High,5.25m,,0.0,,,,,
Girls,Class 2,Long Jump,Preliminaries,7,Aijah Lewis,St. Jago High,5.17m,,0.0,,,,,
