Class,Event,Athlete,Round,Rank,Mark,Points,Wind
Class 2,100 Meter Dash,Anthony Haslam,Semi-Finals,4,11.03,0.0,
Class 2,100 Meter Dash,Deondre Mcintosh,Preliminaries,2,11.00Q,0.0,
Class 2,100 Meter Dash,Deondre Mcintosh,Semi-Finals,8,11.89,0.0,
Class 2,110 Meter Hurdles,Cardo Bailey,Preliminaries,5,15.07,0.0,
Class 2,110 Meter Hurdles,Jahiem Stern,Preliminaries,1,14.19Q,0.0,
Class 2,110 Meter Hurdles,Jahiem Stern,Finals,6,14.02,3.0,0.5
Class 2,1500 Meter Run,J'Voughnn Blake,Preliminaries,2,4:13.51Q,0.0,
Class 2,1500 Meter Run,J'Voughnn Blake,Finals,3,3:59.07,6.0,
Class 2,1500 Meter Run,Tyrese Allen,Preliminaries,7,4:27.36,0.0,
Class 2,200 Meter Dash,Deondre Mcintosh,Preliminaries,4,22.40q,0.0,
Class 2,200 Meter Dash,Deondre Mcintosh,Semi-Finals,8,22.55,0.0,
Class 2,200 Meter Dash,Justin Mcdonald,Preliminaries,3,22.68q,0.0,
Class 2,200 Meter Dash,Justin Mcdonald,Semi-Finals,7,23.13,0.0,
Class 2,400 Meter Dash,Malik Ricketts,Preliminaries,3,50.76q,0.0,
Class 2,400 Meter Dash,Malik Ricketts,Semi-Finals,7,53.07,0.0,
Class 2,400 Meter Dash,Roburn Walker,Preliminaries,--,DNF,0.0,
Class 2,400 Meter Hurdles,Justin Mitchell,Preliminaries,2,54.80q,0.0,
Class 2,400 Meter Hurdles,Justin Mitchell,Finals,7,56.38,2.0,
Class 2,4x100 Meter Relay,Anthony Haslam,Preliminaries,1,41.88Q,0.0,
Class 2,4x100 Meter Relay,Anthony Haslam,Finals,3,41.89,8.0,
Class 2,4x100 Meter Relay,Antonio Christie,Preliminaries,1,41.88Q,0.0,
Class 2,4x100 Meter Relay,Antonio Christie,Finals,3,41.89,8.0,
Class 2,4x100 Meter Relay,Deondre Mcintosh,Preliminaries,1,41.88Q,0.0,
Class 2,4x100 Meter Relay,Deondre Mcintosh,Finals,3,41.89,8.0,
Class 2,4x100 Meter Relay,Johnathan Brooks,Preliminaries,1,41.88Q,0.0,
Class 2,4x100 Meter Relay,Johnathan Brooks,Finals,3,41.89,8.0,
Class 2,800 Meter Run,J'Voughnn Blake,Preliminaries,1,2:00.45Q,0.0,
Class 2,800 Meter Run,J'Voughnn Blake,Semi-Finals,2,1:58.40Q,0.0,
Class 2,800 Meter Run,J'Voughnn Blake,Finals,5,1:57.38,4.0,
Class 2,800 Meter Run,Javier Brown,Preliminaries,1,2:03.79Q,0.0,
Class 2,800 Meter Run,Javier Brown,Semi-Finals,1,1:56.91Q,0.0,
Class 2,800 Meter Run,Javier Brown,Finals,3,1:57.03,6.0,
Class 2,Discus Throw,Jordan Edwards,Preliminaries,7,41.78mq,0.0,
Class 2,Discus Throw,Jordan Edwards,Finals,9,42.92m,0.0,
Class 2,High Jump,Apalos Edwards,Preliminaries,1,1.90mq,0.0,
Class 2,High Jump,Apalos Edwards,Finals,3,1.90m,5.5,
Class 2,High Jump,Calvin Walters,Preliminaries,9,1.75m,0.0,
Class 2,Long Jump,Jai Lewin,Preliminaries,3,6.78mq,0.0,
Class 2,Long Jump,Jai Lewin,Finals,9,6.60m,0.0,
Class 2,Long Jump,Johnathan Brooks,Preliminaries,4,6.40mq,0.0,
Class 2,Long Jump,Johnathan Brooks,Finals,10,6.57m,0.0,
Class 2,Shot Put,Jordan Edwards,Preliminaries,1,14.69mq,0.0,
Class 2,Shot Put,Jordan Edwards,Finals,2,16.72m,7.0,
Class 2,Triple Jump,Apalos Edwards,Preliminaries,1,14.06mq,0.0,
Class 2,Triple Jump,Apalos Edwards,Finals,1,15.05mR,9.0,-1.9
Class 2,Triple Jump,Jai Lewin,Preliminaries,3,13.59mq,0.0,
Class 2,Triple Jump,Jai Lewin,Finals,7,13.76m,2.0,-1.4
Class 3,100 Meter Dash,Dwight Downer,Preliminaries,2,11.64Q,0.0,
Class 3,100 Meter Dash,Dwight Downer,Semi-Finals,4,11.74,0.0,
Class 3,100 Meter Dash,Krishaun Corrodus,Preliminaries,2,11.25Q,0.0,
Class 3,100 Meter Dash,Krishaun Corrodus,Semi-Finals,3,11.31q,0.0,
Class 3,100 Meter Dash,Krishaun Corrodus,Finals,6,11.30,3.0,0.6
Class 3,100 Meter Hurdles,Neil-matthew Sutherland,Preliminaries,1,13.10Q,0.0,
Class 3,100 Meter Hurdles,Neil-matthew Sutherland,Finals,1,12.87R,9.0,0.4
Class 3,100 Meter Hurdles,Peter Calvin,Preliminaries,3,14.61q,0.0,
Class 3,100 Meter Hurdles,Peter Calvin,Finals,8,14.76,1.0,0.4
Class 3,1500 Meter Run,Jermaine Fender,Finals,12,4:39.05,0.0,
Class 3,1500 Meter Run,Omarion Davis,Finals,1,4:15.64,9.0,
Class 3,200 Meter Dash,Jaquan Linton,Preliminaries,1,22.72Q,0.0,
Class 3,200 Meter Dash,Jaquan Linton,Semi-Finals,5,23.62,0.0,
Class 3,200 Meter Dash,Tariq Dacres,Preliminaries,2,23.23Q,0.0,
Class 3,200 Meter Dash,Tariq Dacres,Semi-Finals,2,22.95Q,0.0,
Class 3,400 Meter Dash,Jaquan Linton,Preliminaries,4,54.44,0.0,
Class 3,400 Meter Dash,Tariq Dacres,Preliminaries,1,52.20Q,0.0,
Class 3,400 Meter Dash,Tariq Dacres,Semi-Finals,5,52.55,0.0,
Class 3,4x100 Meter Relay,Dwight Downer,Preliminaries,1,44.20Q,0.0,
Class 3,4x100 Meter Relay,Dwight Downer,Finals,2,43.69,10.0,
Class 3,4x100 Meter Relay,Jaquan Linton,Preliminaries,1,44.20Q,0.0,
Class 3,4x100 Meter Relay,Jaquan Linton,Finals,2,43.69,10.0,
Class 3,4x100 Meter Relay,Jayd'n Johnson,Preliminaries,1,44.20Q,0.0,
Class 3,4x100 Meter Relay,Jayd'n Johnson,Finals,2,43.69,10.0,
Class 3,4x100 Meter Relay,Tariq Dacres,Preliminaries,1,44.20Q,0.0,
Class 3,4x100 Meter Relay,Tariq Dacres,Finals,2,43.69,10.0,
Class 3,800 Meter Run,Lox-lox Reid,Preliminaries,1,2:05.91Q,0.0,
Class 3,800 Meter Run,Lox-lox Reid,Semi-Finals,1,2:04.60Q,0.0,
Class 3,800 Meter Run,Lox-lox Reid,Finals,4,2:02.21,5.0,
Class 3,800 Meter Run,Omarion Davis,Preliminaries,1,2:05.85Q,0.0,
Class 3,800 Meter Run,Omarion Davis,Semi-Finals,1,1:59.48Q,0.0,
Class 3,800 Meter Run,Omarion Davis,Finals,2,1:59.11,7.0,
Class 3,High Jump,Adrian Rumble,Finals,7,1.70m,2.0,
Class 3,High Jump,Michael Curriah,Finals,6,1.70m,3.0,
Class 3,Long Jump,Justin Linton,Preliminaries,7,5.53mq,0.0,
Class 3,Long Jump,Justin Linton,Finals,12,5.34m,0.0,
Class 3,Long Jump,Zachary Gordon,Preliminaries,5,5.80mq,0.0,
Class 3,Long Jump,Zachary Gordon,Finals,7,5.80m,2.0,0.1
Open,1600 Sprint Medley,Enrique Campbell,Preliminaries,10,3:33.68,0.0,
Open,1600 Sprint Medley,Jonathan Henry,Preliminaries,10,3:33.68,0.0,
Open,1600 Sprint Medley,Rackeem Davis,Preliminaries,10,3:33.68,0.0,
Open,4x400 Meter Relay,Colby Jennings,Preliminaries,1,3:14.61Q,0.0,
Open,4x400 Meter Relay,Colby Jennings,Finals,2,3:10.93,10.0,
Open,4x400 Meter Relay,Phillip Lemonios,Preliminaries,1,3:14.61Q,0.0,
Open,4x400 Meter Relay,Phillip Lemonios,Finals,2,3:10.93,10.0,
Open,4x400 Meter Relay,Romario Mickiel,Preliminaries,1,3:14.61Q,0.0,
Open,4x400 Meter Relay,Romario Mickiel,Finals,2,3:10.93,10.0,
Open,4x400 Meter Relay,Ryiem Robertson,Preliminaries,1,3:14.61Q,0.0,
Open,4x400 Meter Relay,Ryiem Robertson,Finals,2,3:10.93,10.0,
