Class,Event,Athlete,Round,Rank,Mark,Points,Wind
Class 3,4x100 Meter Relay,Lenox Barrett,Preliminaries,1,43.70Q,0.0,
Class 3,4x100 Meter Relay,Lenox Barrett,Finals,1,42.43,12.0,
Class 3,4x100 Meter Relay,Nicardo Hinds,Preliminaries,1,43.70Q,0.0,
Class 3,4x100 Meter Relay,Nicardo Hinds,Finals,1,42.43,12.0,
Class 3,800 Meter Run,Ainsley Campbell,Preliminaries,4,2:10.22Q,0.0,
Class 3,800 Meter Run,Ainsley Campbell,Semi-Finals,2,2:05.04Q,0.0,
Class 3,800 Meter Run,Ainsley Campbell,Finals,6,2:04.06,3.0,
Class 3,800 Meter Run,Raheem Richards,Preliminaries,2,2:06.89Q,0.0,
Class 3,800 Meter Run,Raheem Richards,Semi-Finals,2,2:02.44Q,0.0,
Class 3,800 Meter Run,Raheem Richards,Finals,5,2:03.68,4.0,
Class 3,High Jump,Blaine Byam,Finals,2,1.75m,7.0,
Class 3,High Jump,Christopher Seaton,Finals,3,1.75m,6.0,
Class 3,Long Jump,Blaine Byam,Preliminaries,3,5.95mq,0.0,
Class 3,Long Jump,Blaine Byam,Finals,9,5.58m,0.0,
Class 3,Long Jump,Nicholas Francis,Preliminaries,3,5.89mq,0.0,
Class 3,Long Jump,Nicholas Francis,Finals,5,6.02m,4.0,-1.1
Open,1600 Sprint Medley,Colin Rowe,Preliminaries,2,3:31.47q,0.0,
Open,1600 Sprint Medley,Colin Rowe,Finals,1,3:24.22R,12.0,
Open,1600 Sprint Medley,Javad Black,Preliminaries,2,3:31.47q,0.0,
Open,1600 Sprint Medley,Javad Black,Finals,1,3:24.22R,12.0,
Open,1600 Sprint Medley,Kenneil Dewar,Preliminaries,2,3:31.47q,0.0,
Open,1600 Sprint Medley,Kenneil Dewar,Finals,1,3:24.22R,12.0,
Open,1600 Sprint Medley,Kevin Mcpherson,Preliminaries,2,3:31.47q,0.0,
Open,1600 Sprint Medley,Kevin Mcpherson,Finals,1,3:24.22R,12.0,
Open,4x400 Meter Relay,Chemar Marshall,Preliminaries,1,3:15.15Q,0.0,
Open,4x400 Meter Relay,Chemar Marshall,Finals,7,3:23.60,3.0,
Open,4x400 Meter Relay,Nathaniel Bann,Preliminaries,1,3:15.15Q,0.0,
Open,4x400 Meter Relay,Nathaniel Bann,Finals,7,3:23.60,3.0,
Open,4x400 Meter Relay,Romel Plummer,Preliminaries,1,3:15.15Q,0.0,
Open,4x400 Meter Relay,Romel Plummer,Finals,7,3:23.60,3.0,
Open,4x400 Meter Relay,Shanthamoi Brown,Preliminaries,1,3:15.15Q,0.0,
Open,4x400 Meter Relay,Shanthamoi Brown,Finals,7,3:23.60,3.0,
